Participant: ,, ,Video:
Audio Order
A01_exp_1,
A02_exp_2,
A03_xp_3,
A04_exp_4,
A05_ppt_1,
A06_ppt_2,
A07_ppt_3,
A08_ppt_4,
Timestamp,VideoClip,AudioClip,Headrotatin X,Headrotatin Y,Headrotatin Y,GazeObject
2024-03-13 19:13:39.302,0,0,0
2024-03-13 19:13:39.304,0,0,0
2024-03-13 19:13:39.308,0,0,0
2024-03-13 19:13:39.310,0,0,0
2024-03-13 19:13:39.312,0,0,0
2024-03-13 19:13:39.316,0,0,0
2024-03-13 19:13:39.318,0,0,0
2024-03-13 19:13:39.321,0,0,0
2024-03-13 19:13:39.324,0,0,0
2024-03-13 19:13:39.327,0,0,0
2024-03-13 19:13:39.329,0,0,0
2024-03-13 19:13:39.332,0,0,0
2024-03-13 19:13:39.334,0,0,0
2024-03-13 19:13:39.336,0,0,0
2024-03-13 19:13:39.340,0,0,0
2024-03-13 19:13:39.342,0,0,0
2024-03-13 19:13:39.345,0,0,0
2024-03-13 19:13:39.347,0,0,0
2024-03-13 19:13:39.350,0,0,0
2024-03-13 19:13:39.353,0,0,0
2024-03-13 19:13:39.356,0,0,0
2024-03-13 19:13:39.359,0,0,0
2024-03-13 19:13:39.362,0,0,0
2024-03-13 19:13:39.366,0,0,0
2024-03-13 19:13:39.369,0,0,0
2024-03-13 19:13:39.372,0,0,0
2024-03-13 19:13:39.374,0,0,0
2024-03-13 19:13:39.376,0,0,0
2024-03-13 19:13:39.380,0,0,0
2024-03-13 19:13:39.382,0,0,0
2024-03-13 19:13:39.385,0,0,0
2024-03-13 19:13:39.388,0,0,0
2024-03-13 19:13:39.390,0,0,0
2024-03-13 19:13:39.392,0,0,0
2024-03-13 19:13:39.395,0,0,0
2024-03-13 19:13:39.397,0,0,0
2024-03-13 19:13:39.401,0,0,0
2024-03-13 19:13:39.403,0,0,0
2024-03-13 19:13:39.405,0,0,0
2024-03-13 19:13:39.408,0,0,0
2024-03-13 19:13:39.410,0,0,0
2024-03-13 19:13:39.413,0,0,0
2024-03-13 19:13:39.415,0,0,0
2024-03-13 19:13:39.419,0,0,0
2024-03-13 19:13:39.421,0,0,0
2024-03-13 19:13:39.424,0,0,0
2024-03-13 19:13:39.426,0,0,0
2024-03-13 19:13:39.428,0,0,0
2024-03-13 19:13:39.431,0,0,0
2024-03-13 19:13:39.434,0,0,0
2024-03-13 19:13:39.436,0,0,0
2024-03-13 19:13:39.439,0,0,0
2024-03-13 19:13:39.441,0,0,0
2024-03-13 19:13:39.445,0,0,0
2024-03-13 19:13:39.447,0,0,0
2024-03-13 19:13:39.450,0,0,0
2024-03-13 19:13:39.452,0,0,0
2024-03-13 19:13:39.454,0,0,0
2024-03-13 19:13:39.457,0,0,0
2024-03-13 19:13:39.460,0,0,0
2024-03-13 19:13:39.463,0,0,0
2024-03-13 19:13:39.466,0,0,0
2024-03-13 19:13:39.469,0,0,0
2024-03-13 19:13:39.471,0,0,0
2024-03-13 19:13:39.481,0,0,0
2024-03-13 19:13:39.484,0,0,0
2024-03-13 19:13:39.487,0,0,0
2024-03-13 19:13:39.490,0,0,0
2024-03-13 19:13:39.493,0,0,0
2024-03-13 19:13:39.495,0,0,0
2024-03-13 19:13:39.498,0,0,0
2024-03-13 19:13:39.500,0,0,0
2024-03-13 19:13:39.503,0,0,0
2024-03-13 19:13:39.506,0,0,0
2024-03-13 19:13:39.508,0,0,0
2024-03-13 19:13:39.511,0,0,0
2024-03-13 19:13:39.514,0,0,0
2024-03-13 19:13:39.517,0,0,0
2024-03-13 19:13:39.520,0,0,0
2024-03-13 19:13:39.523,0,0,0
2024-03-13 19:13:39.525,0,0,0
2024-03-13 19:13:39.528,0,0,0
2024-03-13 19:13:39.531,0,0,0
2024-03-13 19:13:39.534,0,0,0
2024-03-13 19:13:39.536,0,0,0
2024-03-13 19:13:39.539,0,0,0
2024-03-13 19:13:39.543,0,0,0
2024-03-13 19:13:39.545,0,0,0
2024-03-13 19:13:39.548,0,0,0
2024-03-13 19:13:39.551,0,0,0
2024-03-13 19:13:39.554,0,0,0
2024-03-13 19:13:39.556,0,0,0
2024-03-13 19:13:39.559,0,0,0
2024-03-13 19:13:39.561,0,0,0
2024-03-13 19:13:39.565,0,0,0
2024-03-13 19:13:39.567,0,0,0
2024-03-13 19:13:39.570,0,0,0
2024-03-13 19:13:39.574,0,0,0
2024-03-13 19:13:39.575,0,0,0
2024-03-13 19:13:39.579,0,0,0
2024-03-13 19:13:39.581,0,0,0
2024-03-13 19:13:39.584,0,0,0
2024-03-13 19:13:39.588,0,0,0
2024-03-13 19:13:39.590,0,0,0
2024-03-13 19:13:39.593,0,0,0
2024-03-13 19:13:39.596,0,0,0
2024-03-13 19:13:39.599,0,0,0
2024-03-13 19:13:39.601,0,0,0
2024-03-13 19:13:39.604,0,0,0
2024-03-13 19:13:39.607,0,0,0
2024-03-13 19:13:39.609,0,0,0
2024-03-13 19:13:39.612,0,0,0
2024-03-13 19:13:39.615,0,0,0
2024-03-13 19:13:39.618,0,0,0
2024-03-13 19:13:39.621,0,0,0
2024-03-13 19:13:39.623,0,0,0
2024-03-13 19:13:39.626,0,0,0
2024-03-13 19:13:39.628,0,0,0
2024-03-13 19:13:39.630,0,0,0
2024-03-13 19:13:39.634,0,0,0
2024-03-13 19:13:39.635,0,0,0
2024-03-13 19:13:39.639,0,0,0
2024-03-13 19:13:39.641,0,0,0
2024-03-13 19:13:39.644,0,0,0
2024-03-13 19:13:39.646,0,0,0
2024-03-13 19:13:39.650,0,0,0
2024-03-13 19:13:39.653,0,0,0
2024-03-13 19:13:39.655,0,0,0
2024-03-13 19:13:39.657,0,0,0
2024-03-13 19:13:39.660,0,0,0
2024-03-13 19:13:39.663,0,0,0
2024-03-13 19:13:39.666,0,0,0
2024-03-13 19:13:39.669,0,0,0
2024-03-13 19:13:39.671,0,0,0
2024-03-13 19:13:39.674,0,0,0
2024-03-13 19:13:39.677,0,0,0
2024-03-13 19:13:39.680,0,0,0
2024-03-13 19:13:39.682,0,0,0
2024-03-13 19:13:39.685,0,0,0
